Serviço,Tarifa,Isenção,Detalhes,Resumo
Pix,"Taxa de 0,5% ao mês","Isento para gastos acima de R$5.000,00/mês",Processamento rápido e seguro.,"O serviço 'Pix' possui uma tarifa de Taxa de 0,5% ao mês. Isento para gastos acima de R$5.000,00/mês. Processamento rápido e seguro."
Saque na rede 24h,"R$10,00 por operação",Sem restrições,Ideal para quem busca praticidade.,"O serviço 'Saque na rede 24h' possui uma tarifa de R$10,00 por operação. Sem restrições. Ideal para quem busca praticidade."
Saque na rede 24h,"R$5,00 por operação","Isento para gastos acima de R$5.000,00/mês","Disponível 24h por dia, todos os dias.","O serviço 'Saque na rede 24h' possui uma tarifa de R$5,00 por operação. Isento para gastos acima de R$5.000,00/mês. Disponível 24h por dia, todos os dias."
Emissão de boleto,"Taxa de 0,5% ao mês",Isento para contas universitárias,Oferece benefícios exclusivos para clientes do banco.,"O serviço 'Emissão de boleto' possui uma tarifa de Taxa de 0,5% ao mês. Isento para contas universitárias. Oferece benefícios exclusivos para clientes do banco."
Transferência via DOC,Juros a partir de 8% ao ano,Desconto para clientes do banco,Alternativa moderna e eficiente.,O serviço 'Transferência via DOC' possui uma tarifa de Juros a partir de 8% ao ano. Desconto para clientes do banco. Alternativa moderna e eficiente.
Saque em agência,"Anuidade de R$120,00",Isento para contas universitárias,Compensação em até 1 dia útil.,"O serviço 'Saque em agência' possui uma tarifa de Anuidade de R$120,00. Isento para contas universitárias. Compensação em até 1 dia útil."
Pagamento de contas,Juros a partir de 8% ao ano,Desconto para clientes do banco,Oferece benefícios exclusivos para clientes do banco.,O serviço 'Pagamento de contas' possui uma tarifa de Juros a partir de 8% ao ano. Desconto para clientes do banco. Oferece benefícios exclusivos para clientes do banco.
Débito automático,"Taxa de 0,5% ao mês",Isento para clientes premium,Taxas reduzidas para servidores públicos.,"O serviço 'Débito automático' possui uma tarifa de Taxa de 0,5% ao mês. Isento para clientes premium. Taxas reduzidas para servidores públicos."
Consórcio de veículos,"Taxa de 0,5% ao mês","Isento para gastos acima de R$5.000,00/mês",Oferece benefícios exclusivos para clientes do banco.,"O serviço 'Consórcio de veículos' possui uma tarifa de Taxa de 0,5% ao mês. Isento para gastos acima de R$5.000,00/mês. Oferece benefícios exclusivos para clientes do banco."
Conta digital,"R$5,00 por operação",Isento para clientes premium,Taxas reduzidas para servidores públicos.,"O serviço 'Conta digital' possui uma tarifa de R$5,00 por operação. Isento para clientes premium. Taxas reduzidas para servidores públicos."
Saque em agência,"Taxa de 0,5% ao mês",Isento para clientes premium,Ideal para quem busca praticidade.,"O serviço 'Saque em agência' possui uma tarifa de Taxa de 0,5% ao mês. Isento para clientes premium. Ideal para quem busca praticidade."
Consórcio de veículos,"Taxa de 0,5% ao mês","Isento para gastos acima de R$5.000,00/mês",Alternativa moderna e eficiente.,"O serviço 'Consórcio de veículos' possui uma tarifa de Taxa de 0,5% ao mês. Isento para gastos acima de R$5.000,00/mês. Alternativa moderna e eficiente."
Transferência via TED,"Anuidade de R$120,00",Desconto para clientes do banco,"Disponível 24h por dia, todos os dias.","O serviço 'Transferência via TED' possui uma tarifa de Anuidade de R$120,00. Desconto para clientes do banco. Disponível 24h por dia, todos os dias."
Débito automático,"R$5,00 por operação",Isento para contas universitárias,Taxas reduzidas para servidores públicos.,"O serviço 'Débito automático' possui uma tarifa de R$5,00 por operação. Isento para contas universitárias. Taxas reduzidas para servidores públicos."
Conta digital,"R$5,00 por operação",Desconto para clientes do banco,Compensação em até 1 dia útil.,"O serviço 'Conta digital' possui uma tarifa de R$5,00 por operação. Desconto para clientes do banco. Compensação em até 1 dia útil."
Transferência via TED,"Anuidade de R$120,00",Isento para clientes premium,Ideal para quem busca praticidade.,"O serviço 'Transferência via TED' possui uma tarifa de Anuidade de R$120,00. Isento para clientes premium. Ideal para quem busca praticidade."
Empréstimo pessoal,"Anuidade de R$120,00",Sem restrições,"Disponível 24h por dia, todos os dias.","O serviço 'Empréstimo pessoal' possui uma tarifa de Anuidade de R$120,00. Sem restrições. Disponível 24h por dia, todos os dias."
Pagamento de contas,Gratuito,Isento para clientes premium,Processamento rápido e seguro.,O serviço 'Pagamento de contas' possui uma tarifa de Gratuito. Isento para clientes premium. Processamento rápido e seguro.
Conta digital,"Tarifa mensal de R$20,00",Isento para contas universitárias,Compensação em até 1 dia útil.,"O serviço 'Conta digital' possui uma tarifa de Tarifa mensal de R$20,00. Isento para contas universitárias. Compensação em até 1 dia útil."
Financiamento imobiliário,"Tarifa mensal de R$20,00",Isento para contas universitárias,Compensação em até 1 dia útil.,"O serviço 'Financiamento imobiliário' possui uma tarifa de Tarifa mensal de R$20,00. Isento para contas universitárias. Compensação em até 1 dia útil."
Saque na rede 24h,Juros a partir de 8% ao ano,Isento para clientes premium,Alternativa moderna e eficiente.,O serviço 'Saque na rede 24h' possui uma tarifa de Juros a partir de 8% ao ano. Isento para clientes premium. Alternativa moderna e eficiente.
Transferência via DOC,"R$10,00 por operação",Sem restrições,"Disponível 24h por dia, todos os dias.","O serviço 'Transferência via DOC' possui uma tarifa de R$10,00 por operação. Sem restrições. Disponível 24h por dia, todos os dias."
Emissão de boleto,"Anuidade de R$120,00",Isento para clientes premium,Alternativa moderna e eficiente.,"O serviço 'Emissão de boleto' possui uma tarifa de Anuidade de R$120,00. Isento para clientes premium. Alternativa moderna e eficiente."
Investimento CDB,"Taxa de 0,5% ao mês","Isento para gastos acima de R$5.000,00/mês",Alternativa moderna e eficiente.,"O serviço 'Investimento CDB' possui uma tarifa de Taxa de 0,5% ao mês. Isento para gastos acima de R$5.000,00/mês. Alternativa moderna e eficiente."
Saque em agência,Gratuito,Sem restrições,Ideal para quem busca praticidade.,O serviço 'Saque em agência' possui uma tarifa de Gratuito. Sem restrições. Ideal para quem busca praticidade.
Transferência via DOC,"R$10,00 por operação","Isento para gastos acima de R$5.000,00/mês",Processamento rápido e seguro.,"O serviço 'Transferência via DOC' possui uma tarifa de R$10,00 por operação. Isento para gastos acima de R$5.000,00/mês. Processamento rápido e seguro."
Seguro de vida,"Taxa de 0,5% ao mês","Isento para gastos acima de R$5.000,00/mês","Disponível 24h por dia, todos os dias.","O serviço 'Seguro de vida' possui uma tarifa de Taxa de 0,5% ao mês. Isento para gastos acima de R$5.000,00/mês. Disponível 24h por dia, todos os dias."
Conta digital,"R$10,00 por operação",Sem restrições,Alternativa moderna e eficiente.,"O serviço 'Conta digital' possui uma tarifa de R$10,00 por operação. Sem restrições. Alternativa moderna e eficiente."
Conta digital,"Tarifa mensal de R$20,00",Sem restrições,Alternativa moderna e eficiente.,"O serviço 'Conta digital' possui uma tarifa de Tarifa mensal de R$20,00. Sem restrições. Alternativa moderna e eficiente."
Cartão de crédito,"Taxa de 0,5% ao mês",Isento para clientes premium,Compensação em até 1 dia útil.,"O serviço 'Cartão de crédito' possui uma tarifa de Taxa de 0,5% ao mês. Isento para clientes premium. Compensação em até 1 dia útil."
Saque na rede 24h,"R$10,00 por operação",Desconto para clientes do banco,Compensação em até 1 dia útil.,"O serviço 'Saque na rede 24h' possui uma tarifa de R$10,00 por operação. Desconto para clientes do banco. Compensação em até 1 dia útil."
Emissão de boleto,Gratuito,"Isento para gastos acima de R$5.000,00/mês",Oferece benefícios exclusivos para clientes do banco.,"O serviço 'Emissão de boleto' possui uma tarifa de Gratuito. Isento para gastos acima de R$5.000,00/mês. Oferece benefícios exclusivos para clientes do banco."
Transferência via TED,"Tarifa mensal de R$20,00","Isento para gastos acima de R$5.000,00/mês","Disponível 24h por dia, todos os dias.","O serviço 'Transferência via TED' possui uma tarifa de Tarifa mensal de R$20,00. Isento para gastos acima de R$5.000,00/mês. Disponível 24h por dia, todos os dias."
Consórcio de veículos,"Taxa de 0,5% ao mês",Isento para clientes premium,Compensação em até 1 dia útil.,"O serviço 'Consórcio de veículos' possui uma tarifa de Taxa de 0,5% ao mês. Isento para clientes premium. Compensação em até 1 dia útil."
Financiamento imobiliário,"R$10,00 por operação",Isento para contas universitárias,Compensação em até 1 dia útil.,"O serviço 'Financiamento imobiliário' possui uma tarifa de R$10,00 por operação. Isento para contas universitárias. Compensação em até 1 dia útil."
Transferência via DOC,"R$10,00 por operação",Desconto para clientes do banco,Oferece benefícios exclusivos para clientes do banco.,"O serviço 'Transferência via DOC' possui uma tarifa de R$10,00 por operação. Desconto para clientes do banco. Oferece benefícios exclusivos para clientes do banco."
Financiamento imobiliário,Gratuito,Isento para contas universitárias,Processamento rápido e seguro.,O serviço 'Financiamento imobiliário' possui uma tarifa de Gratuito. Isento para contas universitárias. Processamento rápido e seguro.
Seguro de vida,"R$5,00 por operação",Isento para clientes premium,Oferece benefícios exclusivos para clientes do banco.,"O serviço 'Seguro de vida' possui uma tarifa de R$5,00 por operação. Isento para clientes premium. Oferece benefícios exclusivos para clientes do banco."
Débito automático,"R$5,00 por operação",Isento para contas universitárias,Processamento rápido e seguro.,"O serviço 'Débito automático' possui uma tarifa de R$5,00 por operação. Isento para contas universitárias. Processamento rápido e seguro."
Financiamento imobiliário,"R$10,00 por operação","Isento para gastos acima de R$5.000,00/mês",Oferece benefícios exclusivos para clientes do banco.,"O serviço 'Financiamento imobiliário' possui uma tarifa de R$10,00 por operação. Isento para gastos acima de R$5.000,00/mês. Oferece benefícios exclusivos para clientes do banco."
Cartão de crédito,"Tarifa mensal de R$20,00",Desconto para clientes do banco,Processamento rápido e seguro.,"O serviço 'Cartão de crédito' possui uma tarifa de Tarifa mensal de R$20,00. Desconto para clientes do banco. Processamento rápido e seguro."
Consórcio de veículos,"Tarifa mensal de R$20,00",Isento para contas universitárias,Processamento rápido e seguro.,"O serviço 'Consórcio de veículos' possui uma tarifa de Tarifa mensal de R$20,00. Isento para contas universitárias. Processamento rápido e seguro."
Empréstimo pessoal,"Tarifa mensal de R$20,00",Desconto para clientes do banco,Processamento rápido e seguro.,"O serviço 'Empréstimo pessoal' possui uma tarifa de Tarifa mensal de R$20,00. Desconto para clientes do banco. Processamento rápido e seguro."
Saque na rede 24h,"R$10,00 por operação",Desconto para clientes do banco,Alternativa moderna e eficiente.,"O serviço 'Saque na rede 24h' possui uma tarifa de R$10,00 por operação. Desconto para clientes do banco. Alternativa moderna e eficiente."
Pagamento de contas,"Anuidade de R$120,00","Isento para gastos acima de R$5.000,00/mês",Alternativa moderna e eficiente.,"O serviço 'Pagamento de contas' possui uma tarifa de Anuidade de R$120,00. Isento para gastos acima de R$5.000,00/mês. Alternativa moderna e eficiente."
Débito automático,"R$5,00 por operação","Isento para gastos acima de R$5.000,00/mês",Ideal para quem busca praticidade.,"O serviço 'Débito automático' possui uma tarifa de R$5,00 por operação. Isento para gastos acima de R$5.000,00/mês. Ideal para quem busca praticidade."
Conta digital,"Anuidade de R$120,00",Isento para contas universitárias,Compensação em até 1 dia útil.,"O serviço 'Conta digital' possui uma tarifa de Anuidade de R$120,00. Isento para contas universitárias. Compensação em até 1 dia útil."
Conta corrente básica,"R$10,00 por operação",Isento para clientes premium,Oferece benefícios exclusivos para clientes do banco.,"O serviço 'Conta corrente básica' possui uma tarifa de R$10,00 por operação. Isento para clientes premium. Oferece benefícios exclusivos para clientes do banco."
Seguro de vida,"Tarifa mensal de R$20,00",Isento para contas universitárias,Compensação em até 1 dia útil.,"O serviço 'Seguro de vida' possui uma tarifa de Tarifa mensal de R$20,00. Isento para contas universitárias. Compensação em até 1 dia útil."
Consórcio de veículos,"R$10,00 por operação","Isento para gastos acima de R$5.000,00/mês",Ideal para quem busca praticidade.,"O serviço 'Consórcio de veículos' possui uma tarifa de R$10,00 por operação. Isento para gastos acima de R$5.000,00/mês. Ideal para quem busca praticidade."
Transferência via TED,"R$5,00 por operação",Isento para contas universitárias,Ideal para quem busca praticidade.,"O serviço 'Transferência via TED' possui uma tarifa de R$5,00 por operação. Isento para contas universitárias. Ideal para quem busca praticidade."
Investimento CDB,"Anuidade de R$120,00",Isento para clientes premium,Alternativa moderna e eficiente.,"O serviço 'Investimento CDB' possui uma tarifa de Anuidade de R$120,00. Isento para clientes premium. Alternativa moderna e eficiente."
Consórcio de veículos,Juros a partir de 8% ao ano,Isento para clientes premium,Processamento rápido e seguro.,O serviço 'Consórcio de veículos' possui uma tarifa de Juros a partir de 8% ao ano. Isento para clientes premium. Processamento rápido e seguro.
Consórcio de veículos,Juros a partir de 8% ao ano,Isento para contas universitárias,"Disponível 24h por dia, todos os dias.","O serviço 'Consórcio de veículos' possui uma tarifa de Juros a partir de 8% ao ano. Isento para contas universitárias. Disponível 24h por dia, todos os dias."
Débito automático,"R$10,00 por operação","Isento para gastos acima de R$5.000,00/mês",Oferece benefícios exclusivos para clientes do banco.,"O serviço 'Débito automático' possui uma tarifa de R$10,00 por operação. Isento para gastos acima de R$5.000,00/mês. Oferece benefícios exclusivos para clientes do banco."
Pix,"Taxa de 0,5% ao mês",Sem restrições,Ideal para quem busca praticidade.,"O serviço 'Pix' possui uma tarifa de Taxa de 0,5% ao mês. Sem restrições. Ideal para quem busca praticidade."
Pagamento de contas,"R$5,00 por operação",Isento para clientes premium,Ideal para quem busca praticidade.,"O serviço 'Pagamento de contas' possui uma tarifa de R$5,00 por operação. Isento para clientes premium. Ideal para quem busca praticidade."
Pagamento de contas,Juros a partir de 8% ao ano,Sem restrições,Oferece benefícios exclusivos para clientes do banco.,O serviço 'Pagamento de contas' possui uma tarifa de Juros a partir de 8% ao ano. Sem restrições. Oferece benefícios exclusivos para clientes do banco.
Cartão de crédito,"Anuidade de R$120,00","Isento para gastos acima de R$5.000,00/mês",Taxas reduzidas para servidores públicos.,"O serviço 'Cartão de crédito' possui uma tarifa de Anuidade de R$120,00. Isento para gastos acima de R$5.000,00/mês. Taxas reduzidas para servidores públicos."
Saque em agência,"R$5,00 por operação",Desconto para clientes do banco,Processamento rápido e seguro.,"O serviço 'Saque em agência' possui uma tarifa de R$5,00 por operação. Desconto para clientes do banco. Processamento rápido e seguro."
Investimento CDB,Juros a partir de 8% ao ano,Isento para contas universitárias,Compensação em até 1 dia útil.,O serviço 'Investimento CDB' possui uma tarifa de Juros a partir de 8% ao ano. Isento para contas universitárias. Compensação em até 1 dia útil.
Consórcio de veículos,Gratuito,Isento para contas universitárias,Compensação em até 1 dia útil.,O serviço 'Consórcio de veículos' possui uma tarifa de Gratuito. Isento para contas universitárias. Compensação em até 1 dia útil.
Transferência via DOC,"Anuidade de R$120,00","Isento para gastos acima de R$5.000,00/mês",Oferece benefícios exclusivos para clientes do banco.,"O serviço 'Transferência via DOC' possui uma tarifa de Anuidade de R$120,00. Isento para gastos acima de R$5.000,00/mês. Oferece benefícios exclusivos para clientes do banco."
Débito automático,"Taxa de 0,5% ao mês","Isento para gastos acima de R$5.000,00/mês",Ideal para quem busca praticidade.,"O serviço 'Débito automático' possui uma tarifa de Taxa de 0,5% ao mês. Isento para gastos acima de R$5.000,00/mês. Ideal para quem busca praticidade."
Conta corrente básica,Juros a partir de 8% ao ano,"Isento para gastos acima de R$5.000,00/mês",Processamento rápido e seguro.,"O serviço 'Conta corrente básica' possui uma tarifa de Juros a partir de 8% ao ano. Isento para gastos acima de R$5.000,00/mês. Processamento rápido e seguro."
Cartão de crédito,"R$5,00 por operação",Desconto para clientes do banco,Taxas reduzidas para servidores públicos.,"O serviço 'Cartão de crédito' possui uma tarifa de R$5,00 por operação. Desconto para clientes do banco. Taxas reduzidas para servidores públicos."
Seguro de vida,"R$10,00 por operação","Isento para gastos acima de R$5.000,00/mês",Taxas reduzidas para servidores públicos.,"O serviço 'Seguro de vida' possui uma tarifa de R$10,00 por operação. Isento para gastos acima de R$5.000,00/mês. Taxas reduzidas para servidores públicos."
Emissão de boleto,"Tarifa mensal de R$20,00",Sem restrições,Ideal para quem busca praticidade.,"O serviço 'Emissão de boleto' possui uma tarifa de Tarifa mensal de R$20,00. Sem restrições. Ideal para quem busca praticidade."
Seguro de vida,Gratuito,Desconto para clientes do banco,Ideal para quem busca praticidade.,O serviço 'Seguro de vida' possui uma tarifa de Gratuito. Desconto para clientes do banco. Ideal para quem busca praticidade.
Conta digital,Gratuito,Desconto para clientes do banco,Alternativa moderna e eficiente.,O serviço 'Conta digital' possui uma tarifa de Gratuito. Desconto para clientes do banco. Alternativa moderna e eficiente.
Financiamento imobiliário,Gratuito,"Isento para gastos acima de R$5.000,00/mês",Ideal para quem busca praticidade.,"O serviço 'Financiamento imobiliário' possui uma tarifa de Gratuito. Isento para gastos acima de R$5.000,00/mês. Ideal para quem busca praticidade."
Cartão de crédito,"Anuidade de R$120,00",Desconto para clientes do banco,Oferece benefícios exclusivos para clientes do banco.,"O serviço 'Cartão de crédito' possui uma tarifa de Anuidade de R$120,00. Desconto para clientes do banco. Oferece benefícios exclusivos para clientes do banco."
Pagamento de contas,Gratuito,Isento para contas universitárias,Alternativa moderna e eficiente.,O serviço 'Pagamento de contas' possui uma tarifa de Gratuito. Isento para contas universitárias. Alternativa moderna e eficiente.
Pix,"Anuidade de R$120,00",Isento para clientes premium,Alternativa moderna e eficiente.,"O serviço 'Pix' possui uma tarifa de Anuidade de R$120,00. Isento para clientes premium. Alternativa moderna e eficiente."
Saque na rede 24h,"R$5,00 por operação",Sem restrições,Oferece benefícios exclusivos para clientes do banco.,"O serviço 'Saque na rede 24h' possui uma tarifa de R$5,00 por operação. Sem restrições. Oferece benefícios exclusivos para clientes do banco."
Saque na rede 24h,"Tarifa mensal de R$20,00",Isento para clientes premium,Compensação em até 1 dia útil.,"O serviço 'Saque na rede 24h' possui uma tarifa de Tarifa mensal de R$20,00. Isento para clientes premium. Compensação em até 1 dia útil."
Pagamento de contas,Juros a partir de 8% ao ano,"Isento para gastos acima de R$5.000,00/mês","Disponível 24h por dia, todos os dias.","O serviço 'Pagamento de contas' possui uma tarifa de Juros a partir de 8% ao ano. Isento para gastos acima de R$5.000,00/mês. Disponível 24h por dia, todos os dias."
Conta digital,Juros a partir de 8% ao ano,Isento para clientes premium,Oferece benefícios exclusivos para clientes do banco.,O serviço 'Conta digital' possui uma tarifa de Juros a partir de 8% ao ano. Isento para clientes premium. Oferece benefícios exclusivos para clientes do banco.
